AWS,Row Position,Column Position,name,DEM,Imerg,R500,SLHF,TCLW,TCWV
0.800000011920929,16,109,20190401000000,350,0.0,29.947826,-57959.0,0.77667236,45.83461
0.0,83,69,20190401000000,162,0.0,28.303295,-63719.0,0.049072266,39.78383
0.0,82,18,20190401000000,260,0.0,6.0884523,-40615.0,0.08874512,39.867813
0.0,7,173,20190401000000,0,0.0,18.38142,-495207.0,0.10491943,42.96547
0.0,77,235,20190401000000,0,0.0,19.690014,-183527.0,0.06585693,47.904922
0.0,60,131,20190401000000,0,0.0,26.436108,-5543.0,0.17706299,45.211563
0.0,58,33,20190401000000,255,0.0,5.065015,-14503.0,0.015380859,35.96547
0.0,37,64,20190401000000,671,0.0,3.772046,3545.0,0.042297363,19.949844
0.0,28,167,20190401000000,32767,0.0,6.834546,-119655.0,0.066345215,41.199844
0.0,26,248,20190401000000,0,0.0,13.104077,-115303.0,0.27923584,46.72328
0.0,22,164,20190401000000,0,0.0,10.627515,-103271.0,0.0736084,41.736954
0.0,12,26,20190401000000,1209,0.0,2.2993898,-22375.0,0.0014648438,24.055313
0.0,10,99,20190401000000,342,0.0,14.400952,-46695.0,0.6873169,37.813126
0.0,10,152,20190401000000,0,0.0,36.572826,-94631.0,0.12823486,46.580704
1.2000000476837158,15,115,20190401000000,138,0.0,29.947826,-57959.0,0.77667236,45.83461
19.0,7,115,20190401000000,104,0.2379743,33.41267,-71463.0,0.8102417,46.37172
0.20000000298023224,38,96,20190401000000,693,0.0,7.834546,-80743.0,0.22833252,32.28578
2.799999952316284,30,122,20190401000000,12,0.0,38.279858,-126631.0,0.48931885,47.03383
0.20000000298023224,27,118,20190401000000,30,0.0,38.357983,-86119.0,0.8129883,49.51039
0.800000011920929,23,122,20190401000000,46,0.0,44.908764,-111207.0,0.5564575,47.750626
0.20000000298023224,21,109,20190401000000,60,0.0,27.334545,-73255.0,0.6704712,47.91664
0.10000000149011612,20,135,20190401000000,9,0.0,35.420483,-77479.0,0.10058594,46.262344
0.20000000298023224,3,115,20190401000000,12,0.0,39.4947,-127783.0,0.72320557,48.219376
0.800000011920929,5,114,20190401000000,17,0.0,39.4947,-127783.0,0.72320557,48.219376
0.6000000238418579,6,116,20190401000000,10,0.0,53.28767,-132583.0,0.6248779,47.9225
0.0,8,31,20190401000000,796,0.0,2.0103273,-23719.0,0.0007324219,25.21547
0.0,18,87,20190401010000,813,0.0,3.4722586,-131527.0,0.33599854,29.069992
0.0,10,72,20190401010000,657,0.0,2.0464773,-105031.0,0.08453369,27.216476
0.0,23,232,20190401010000,0,13.064724,34.206635,-152647.0,0.24584961,49.28093
0.0,40,241,20190401010000,37,0.0,8.214446,-315719.0,0.18847656,46.741867
0.0,29,48,20190401010000,950,0.0,3.4683523,-205767.0,0.0021972656,22.021164
0.0,80,170,20190401010000,0,0.0,7.776946,-158855.0,0.016113281,42.17546
0.0,70,220,20190401010000,0,0.0,10.163665,-211591.0,0.117126465,46.253586
0.0,70,103,20190401010000,1152,0.0,13.980071,-272007.0,0.11022949,29.685226
0.0,70,30,20190401010000,190,0.0,7.194915,-263367.0,0.076293945,41.4489
0.0,67,97,20190401010000,660,0.0,7.2964773,-149191.0,0.11444092,29.294601
0.0,65,123,20190401010000,1,0.0,15.347259,-25607.0,0.23095703,45.620773
0.0,28,20,20190401010000,620,0.0,2.761321,-243079.0,0.0013427734,23.054367
0.0,64,123,20190401010000,0,0.0,15.347259,-25607.0,0.23095703,45.620773
